Energy_Mean,Energy_Mean.1,Energy_Mean.2,Energy_Mean.3,Energy_Mean.4,Energy_Mean.5,Energy_Mean.6,Energy_Mean.7,Energy_Mean.8,Energy_Mean.9,Energy_Mean.10,Energy_Mean.11,Energy_Mean.12,Energy_Mean.13,Energy_Mean.14,Energy_Mean.15,Energy_Mean.16,Energy_Mean.17,Energy_Mean.18,Energy_Mean.19,Energy_Mean.20,Energy_Mean.21,Energy_Mean.22,Energy_Mean
514211.2986283897,712876.4899597674,532733.5397283435,1840412.583127005,461188.9091901141,635366.8082911634,985772.3026727767,1288945.112752416,216634.88057586708,411816.79181982216,300822.4547409116,242531.2532750525,514211.2986283897,712876.4899597674,532733.5397283435,1840412.583127005,461188.9091901141,635366.8082911634,985772.3026727767,1288945.112752416,216634.88057586708,411816.79181982216,300822.4547409116,242531.2532750525
499879.2555700554,676772.7720086972,553846.1048718896,1768667.7411846102,456886.0318707365,623211.4410956033,947129.7045482747,1265816.674054444,209087.0837932749,411844.0392098856,298343.7170881677,241126.59680972388,499879.2555700554,676772.7720086972,553846.1048718896,1768667.7411846102,456886.0318707365,623211.4410956033,947129.7045482747,1265816.674054444,209087.0837932749,411844.0392098856,298343.7170881677,241126.59680972388
485656.9364769691,640573.4963741717,564689.6629458665,1688304.316556228,452412.0465636344,610077.2626852676,907270.7236585742,1241307.535787434,199247.95988768875,408200.5496298793,296862.61047235527,239911.4167662615,485656.9364769691,640573.4963741717,564689.6629458665,1688304.316556228,452412.0465636344,610077.2626852676,907270.7236585742,1241307.535787434,199247.95988768875,408200.5496298793,296862.61047235527,239911.4167662615
475549.17121360375,601490.6128128852,564944.0379804319,1607330.171111287,445836.26243584,593330.9336105783,868637.3915012426,1220305.0459786016,188878.85918399185,401493.9795440044,294345.16389981465,239343.02393793667,475549.17121360375,601490.6128128852,564944.0379804319,1607330.171111287,445836.26243584,593330.9336105783,868637.3915012426,1220305.0459786016,188878.85918399185,401493.9795440044,294345.16389981465,239343.02393793667
474687.5594721587,545987.3560188095,559220.980857074,1524650.2986904767,437629.1787063072,575452.6234437977,836931.5602451089,1202784.223954743,178932.47528816003,392551.6426330548,289915.22364263056,239311.58142388152,474687.5594721587,545987.3560188095,559220.980857074,1524650.2986904767,437629.1787063072,575452.6234437977,836931.5602451089,1202784.223954743,178932.47528816003,392551.6426330548,289915.22364263056,239311.58142388152
477367.3497012398,489011.4697386488,546803.5289717788,1440698.3531059087,428903.28097222274,555056.0979017199,809642.220764256,1195043.492844341,169411.39537953597,380818.6218309185,285786.51590894914,239436.6667217517,477367.3497012398,489011.4697386488,546803.5289717788,1440698.3531059087,428903.28097222274,555056.0979017199,809642.220764256,1195043.492844341,169411.39537953597,380818.6218309185,285786.51590894914,239436.6667217517
480934.4808887622,440576.3049432332,529089.4103679736,1390469.4724706816,421329.7185641911,531029.2693679343,781596.4703613928,1194560.3039995146,160022.68373789478,366556.8511990069,282512.6143681259,239376.52317763865,480934.4808887622,440576.3049432332,529089.4103679736,1390469.4724706816,421329.7185641911,531029.2693679343,781596.4703613928,1194560.3039995146,160022.68373789478,366556.8511990069,282512.6143681259,239376.52317763865
485013.0068996009,397143.3143516008,513939.13217156753,1432771.8292101785,412461.7257099241,505579.8401476198,752656.6072293632,1207155.5204110018,152586.71301328184,351330.244233465,282385.5919957631,239189.92975868352,485013.0068996009,397143.3143516008,513939.13217156753,1432771.8292101785,412461.7257099241,505579.8401476198,752656.6072293632,1207155.5204110018,152586.71301328184,351330.244233465,282385.5919957631,239189.92975868352
484785.9014651455,349934.86473655974,492176.3041199585,1524322.659052312,400389.3402769553,483009.9085002541,721040.3517862174,1239498.6626871263,147285.2839519704,336676.61972363066,284507.78250201006,238884.98314189824,484785.9014651455,349934.86473655974,492176.3041199585,1524322.659052312,400389.3402769553,483009.9085002541,721040.3517862174,1239498.6626871263,147285.2839519704,336676.61972363066,284507.78250201006,238884.98314189824
479847.92660906905,315738.63909362035,462235.278731373,1624044.3831907175,389061.78801903874,459550.13948222407,686955.4343499087,1281294.8026035598,143679.3272887742,325376.28561803774,286602.78568672744,237403.3129632718,479847.92660906905,315738.63909362035,462235.278731373,1624044.3831907175,389061.78801903874,459550.13948222407,686955.4343499087,1281294.8026035598,143679.3272887742,325376.28561803774,286602.78568672744,237403.3129632718
468466.8292130544,302329.2234071498,425857.14730513335,1730653.4253842828,377379.8084169309,433540.22021734825,647881.265601628,1319278.129437421,141754.28669017553,316561.907139145,288664.4662909063,233585.90689366107,468466.8292130544,302329.2234071498,425857.14730513335,1730653.4253842828,377379.8084169309,433540.22021734825,647881.265601628,1319278.129437421,141754.28669017553,316561.907139145,288664.4662909063,233585.90689366107
451137.07520109095,325000.2341666103,386894.0562009433,1790058.4518840706,370656.00610424194,407995.1931748778,608655.3058153105,1352478.6351525611,139785.1013766102,311312.6482770215,289938.1313733656,227648.12406306408,451137.07520109095,325000.2341666103,386894.0562009433,1790058.4518840706,370656.00610424194,407995.1931748778,608655.3058153105,1352478.6351525611,139785.1013766102,311312.6482770215,289938.1313733656,227648.12406306408
436287.3330936208,347814.3165991714,349331.80483317294,1818774.7857159104,371117.4812369176,383847.69105581735,589001.5870726142,1398234.185300775,137584.87617233055,312785.40683444845,292339.2052844602,223598.8840466989,436287.3330936208,347814.3165991714,349331.80483317294,1818774.7857159104,371117.4812369176,383847.69105581735,589001.5870726142,1398234.185300775,137584.87617233055,312785.40683444845,292339.2052844602,223598.8840466989
419461.7645269161,403761.00688934745,318109.11734393577,1764820.4426995642,363280.4898504856,352933.41766820976,575110.0211197655,1416001.8056515187,131846.85185485205,313195.22715270414,291151.5353929825,219073.7291054453,419461.7645269161,403761.00688934745,318109.11734393577,1764820.4426995642,363280.4898504856,352933.41766820976,575110.0211197655,1416001.8056515187,131846.85185485205,313195.22715270414,291151.5353929825,219073.7291054453
412842.4822627635,460842.710450024,297940.3376621289,1631310.8857502537,346931.89583261707,320222.2310087116,560956.8478119305,1399904.594369186,123479.3881293387,312241.8360313274,284991.5410150062,214699.2236229894,412842.4822627635,460842.710450024,297940.3376621289,1631310.8857502537,346931.89583261707,320222.2310087116,560956.8478119305,1399904.594369186,123479.3881293387,312241.8360313274,284991.5410150062,214699.2236229894
417049.5676069289,507319.816896264,281438.0173946092,1464722.3224329746,326328.7338879147,294605.6629407391,549097.4032737004,1345506.700983139,115732.99869138523,311766.4647110507,271983.1641278845,210307.8528593265,417049.5676069289,507319.816896264,281438.0173946092,1464722.3224329746,326328.7338879147,294605.6629407391,549097.4032737004,1345506.700983139,115732.99869138523,311766.4647110507,271983.1641278845,210307.8528593265
435683.380344679,530279.0616764615,264399.430039354,1341659.085214662,300781.23599044746,271190.1664577383,523366.951614301,1244746.2077119218,108296.18873963851,306571.9575105711,255764.60870115715,202313.9444419117,435683.380344679,530279.0616764615,264399.430039354,1341659.085214662,300781.23599044746,271190.1664577383,523366.951614301,1244746.2077119218,108296.18873963851,306571.9575105711,255764.60870115715,202313.9444419117
453808.2530019846,521306.1284562687,238538.05130822808,1341615.5611622003,281194.3335686936,249608.73426755684,487564.0381529414,1124119.565152316,104211.8241070484,296518.28406440694,236322.1386415696,192430.36692911363,453808.2530019846,521306.1284562687,238538.05130822808,1341615.5611622003,281194.3335686936,249608.73426755684,487564.0381529414,1124119.565152316,104211.8241070484,296518.28406440694,236322.1386415696,192430.36692911363
450901.09190661705,480554.7758545733,208048.8646798407,1346069.0953369294,267433.210954868,233761.79575100003,448919.8975187222,1021705.1910863204,102318.81161545524,288347.2985902029,217185.37764667635,183211.4212186911,450901.09190661705,480554.7758545733,208048.8646798407,1346069.0953369294,267433.210954868,233761.79575100003,448919.8975187222,1021705.1910863204,102318.81161545524,288347.2985902029,217185.37764667635,183211.4212186911
415780.7454093261,430823.08881610393,195035.9261335793,1283587.1034929054,250853.0608637301,215114.4537768655,411737.1442449014,963124.9661672392,98961.6018757876,282322.4659058102,199610.71331810465,173833.876030744,415780.7454093261,430823.08881610393,195035.9261335793,1283587.1034929054,250853.0608637301,215114.4537768655,411737.1442449014,963124.9661672392,98961.6018757876,282322.4659058102,199610.71331810465,173833.876030744
360724.3599962125,379799.3996429986,198978.7581212268,1203354.1841043793,234319.4946809572,198642.2615004801,389203.0863898213,938895.369671922,93731.71102978576,278386.4701716541,187746.9978022049,163206.17067254471,360724.3599962125,379799.3996429986,198978.7581212268,1203354.1841043793,234319.4946809572,198642.2615004801,389203.0863898213,938895.369671922,93731.71102978576,278386.4701716541,187746.9978022049,163206.17067254471
308184.8906794235,408814.7998196648,201091.510170187,1168432.2031773697,218885.66713963164,188132.63040993805,381666.824296714,929982.0333801128,86116.32029655922,273193.94041955925,177932.72117456663,152143.15849309627,308184.8906794235,408814.7998196648,201091.510170187,1168432.2031773697,218885.66713963164,188132.63040993805,381666.824296714,929982.0333801128,86116.32029655922,273193.94041955925,177932.72117456663,152143.15849309627
267682.7237285321,546823.4346542879,179057.163870208,1081672.9437807307,199960.50137674424,171513.28596064437,370565.2175957164,911361.5700198876,76862.21484769169,263232.9356425767,165739.12727647644,145199.17569284336,267682.7237285321,546823.4346542879,179057.163870208,1081672.9437807307,199960.50137674424,171513.28596064437,370565.2175957164,911361.5700198876,76862.21484769169,263232.9356425767,165739.12727647644,145199.17569284336
236459.19303046004,708586.6730919128,138026.05987723262,1009459.1416178348,186131.97065539967,181744.36971282863,341783.387863834,870693.2766160308,71178.43411724795,255566.9124749228,153035.73576083322,143395.82340894762,236459.19303046004,708586.6730919128,138026.05987723262,1009459.1416178348,186131.97065539967,181744.36971282863,341783.387863834,870693.2766160308,71178.43411724795,255566.9124749228,153035.73576083322,143395.82340894762
222430.52430795343,692794.0124502544,119314.79356887472,844965.5407346309,175802.89126587362,190955.1501132491,302329.5287485994,800125.1989251875,66678.53141657915,248414.4228747619,136668.6870522458,139176.9396240809,222430.52430795343,692794.0124502544,119314.79356887472,844965.5407346309,175802.89126587362,190955.1501132491,302329.5287485994,800125.1989251875,66678.53141657915,248414.4228747619,136668.6870522458,139176.9396240809
196913.44809038664,455852.0852347048,150972.4786549125,691072.4356393019,156769.8591378564,159498.0150624633,272318.7641720937,710493.9398121173,59800.40399344788,237260.0201210071,119412.14666761048,126777.32192236756,196913.44809038664,455852.0852347048,150972.4786549125,691072.4356393019,156769.8591378564,159498.0150624633,272318.7641720937,710493.9398121173,59800.40399344788,237260.0201210071,119412.14666761048,126777.32192236756
136423.90442894597,264758.9521794221,134545.57626782,522292.2962206873,136784.47534104224,123279.48014028351,209778.2562110396,625357.1976303296,58061.60704620776,222604.88403082523,103893.29706012136,114481.80572662236,136423.90442894597,264758.9521794221,134545.57626782,522292.2962206873,136784.47534104224,123279.48014028351,209778.2562110396,625357.1976303296,58061.60704620776,222604.88403082523,103893.29706012136,114481.80572662236
108167.3219477866,347550.0983618762,122143.15114896491,328669.83255130536,128425.98369818895,95807.19403228122,173713.5925975642,518969.6500823919,48473.40733902644,204221.9102424798,91566.8316823262,103338.98776779525,108167.3219477866,347550.0983618762,122143.15114896491,328669.83255130536,128425.98369818895,95807.19403228122,173713.5925975642,518969.6500823919,48473.40733902644,204221.9102424798,91566.8316823262,103338.98776779525
65655.0423832492,298090.8466768638,74535.3101450701,148178.94871005486,96885.21168641292,64498.37144437803,113646.48366954476,346649.1741289132,31560.19714974919,156711.23608776918,62980.37491519798,74727.02381834136,65655.0423832492,298090.8466768638,74535.3101450701,148178.94871005486,96885.21168641292,64498.37144437803,113646.48366954476,346649.1741289132,31560.19714974919,156711.23608776918,62980.37491519798,74727.02381834136
29779.04971461736,90948.36313688688,29706.58058930041,75549.4557605317,36719.98370789392,26868.94063518968,47841.33069637109,146518.1470769861,12924.940284722945,58708.62967499372,24098.64470074642,29035.5561907799,29779.04971461736,90948.36313688688,29706.58058930041,75549.4557605317,36719.98370789392,26868.94063518968,47841.33069637109,146518.1470769861,12924.940284722945,58708.62967499372,24098.64470074642,29035.5561907799
