,test_panel_id,params,error
0,Sample1,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.0406704895431487
1,Sample2,"[102, 0.001916004419675022, 628, 41, 0.23399972136972377, 0.9199698989816035, 2.0399720083078416]",3.1348210393507827
2,Sample3,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",3.0122022261682315
3,Sample4,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",2.9855984347196345
4,Sample5,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",2.9625487787007554
5,Sample6,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",2.833624201713041
6,Sample7,"[60, 0.0015143814974272142, 528, 9, 0.36655941068807596, 1.9262632508189004, 0.8021026677707387]",3.0342419277829555
7,Sample8,"[117, 0.00610963905209818, 235, 23, 0.09932813075024122, 0.8187636880894328, 1.9431839979071983]",3.1233495164997978
8,Sample9,"[119, 0.006213066945314396, 497, 6, 0.031069964019879565, 1.4297295923100672, 1.8796246236311902]",3.0263395954854166
9,Sample10,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",3.0459617029100334
10,Sample11,"[72, 0.008613410026689576, 551, 32, 0.026367181356735936, 1.9306421068218236, 2.3208781881829568]",2.952951630929735
11,Sample12,"[65, 0.0002580658969801206, 200, 20, 0.34796648903622, 1.5319959893391453, 3.049626261687645]",3.016510107921177
